id,question,solution,difficulty
101,"https://www.geeksforgeeks.org/puzzle-best-time-to-escape/
","Once there was a king. The king wanted to protect his kingdom from the outside world. So he made a rule that neither any citizen of the kingdom can go to the outer world nor anyone from outside can enter his kingdom. There was a common bridge between the kingdom and the outside world. The guard was assigned on the gates of the kingdom which was linked to the bridge. If anyone tried to go out of the kingdom, he/she will be killed. And if anyone tried to come inside the kingdom, the guards would sent him/her back. It takes 8 minutes to cross the bridge.
The guard was allowed to take a 5 minutes break. One woman was able to cross the bridge and move to the outside world. How did she do that?",easy
102,"https://www.geeksforgeeks.org/puzzle-chaos-in-the-bus/
",There is a bus with 100 labelled seats (labelled from 1 to 100). There are 100 persons standing in a queue. Persons are also labelled from 1 to 100.,medium
103,"https://www.geeksforgeeks.org/puzzle-100-cows-and-milk/
","A milkman has 100 cows number from 1 to 100. Every cow gives milk according to their numbers i.e i’th cow gives i litre milk. Milkman has 10 sons and he wants to divide his cows among his 10 sons so that every son should get an equal amount of milk, the task is to help him to know about the division of these cows among the sons.",medium
104,"https://www.geeksforgeeks.org/puzzle-blind-man-and-pills/
",Puzzle: A blind man is alone on a deserted island. He has two blue pills and two red pills. He must take exactly one red pill and one blue pill or he will die. ,easy
105,"https://www.geeksforgeeks.org/egg-dropping-puzzle-with-2-eggs-and-k-floors/
","Given 2 eggs and k floors, find the minimum number of trials needed in worst case. This problem is a specific case of n eggs and k floors.",medium
106,"https://www.geeksforgeeks.org/puzzle-one-mile-on-the-globe-mcq/
","Q. Find out the number of points on the globe (Earth) where if we move one mile south, then one mile east and finally one mile north, we arrive at the starting point.",hard
107,"https://www.geeksforgeeks.org/puzzle-gods-mercy-graduation/
","There is a school on the foothills of Himalayas. This Gurukul admits only 100 students every year and these are entitled to be the best in knowledge, health and spirit. A specialty about this Gurukul is that, despite being a secret well hidden from the muggles (non-sorcerers), it’s a renowned institution and well known amongst sorcerers and priests. The school is famous in these communities for “God’s Mercy Graduation”. It is believed that every year there comes a time, starting in the second week of November, when the skies turn red and there are exactly 100 days left to graduation. It’s an overly tensed time for the students of the institution. All students are preparing for the world’s toughest and the most rigorous examination. God comes one night and puts a seal at the back of the head of some meritorious students and these students are exempted from giving the examination and have to leave the school. ",medium
108,"https://www.geeksforgeeks.org/puzzle-bilateral-conversations/
","There are n students in a class, each in possession of a different personality attribute. As they are new in the school, so they want to know about each other. To help the students, the teacher decides to conduct an activity. The rule for the activity is that the students will share the personality attributes of each other through a series of bilateral conversations (e.g., via a telephone). Assume that in every conversation both parties exchange all the personality attributes they know at the time. What is the minimum number of conversations they need to guarantee that everyone of them gets all the personality attributes?",medium
109,"https://www.geeksforgeeks.org/game-brussels-sprouts-puzzle/
","Given n number of spots, and two players. Players need to connect any two spots without intersecting any of the drawn line, the player who cannot give a move, loses. Determine who will win player1 or player2. ",easy
110,"https://www.geeksforgeeks.org/number-pentagons-hexagons-football/
","Given a standard football, regular hexagons and pentagons are drawn on it as shown in the picture. Find out the number of hexagons and pentagons.",hard
111,"https://www.geeksforgeeks.org/survival/
","You are a poor person in an island. There is only one shop in this island, this shop is open on all days of the week except for Sunday. Consider following constraints:",easy
112,"https://www.geeksforgeeks.org/puzzle-four-glasses-blindfold/
","Puzzle: Four glasses are placed on the corners of a square plate which can rotate about its center. Glasses are either upright (up) or upside-down (down) in no known number.
A person is made blindfold and seated next to the rotating plate. The blindfold person has to re-arrange the glasses so that they are either all up or all down which will be signalled by the ringing of a bell.
The glasses can be rearranged in turns, following the given rules: ",hard
113,"https://www.geeksforgeeks.org/puzzle-upside-glasses/
","There are n glasses on the table, all standing upside down. In one move, you are allowed to turn over exactly n – 1 of them. Determine all values of n for which all the glasses can be turned up in the minimum number of moves.",medium
114,"https://www.geeksforgeeks.org/puzzle-the-symbols/
","There are two gates. One goes to hell and the other goes to heaven. The gatekeeper asks a puzzle to Sahil in order to decide which gate he should open for him. Obviously if Sahil answers the puzzle correct , the gate to heaven will be opened else the gate to hell. According to the problem Sahil is given n consecutive integers from 1 to n ,which are written in a row. He has to put signs “+” and “-” in front of them so that the expression obtained is equal to 0 or, if the task is impossible to do,then Sahil should tell the gatekeeper “No solution exists for the given problem “.The gatekeeper expects Sahil to find his answer in minimum time using an efficient approach rather than examining all possible ways to place the signs. Sahil comes to you considering you as his friend. Would you help him out to get to the solution ?",hard
115,"https://www.geeksforgeeks.org/puzzle-the-neighbour/
",Sahil has got a challenge problem from his friend Akhil. Sahil has to find all values of n for which one can fill an n × n table with +’s and -’s (one per cell) so that every cell has exactly one neighbor with the opposite sign. Two cells are considered neighbors if they are either in the same row or the same column. Can you help out Sahil to find such values of n ?,hard
116,"https://www.geeksforgeeks.org/puzzle-message-spreading/
","There are n students in a class, each in possession of a different funny story. As the students were getting bored in the class, they decided to come up with a game so that they can pass their time. They want to share the funny stories with each other by sending electronic messages.  Assume that a sender includes all the funny stories he or she knows at the time the message is sent and that a message may only have one addressee. What is the minimum number of messages they need to send to guarantee that everyone of them gets all the funny stories?",medium
117,"https://www.geeksforgeeks.org/puzzle-two-brothers-and-facebook/
","Sahil and Ritik are brothers. One day they were discussing who is smarter. But gradually the discussion turned into an argument. Mother came and tried to handle the situation. She gave them a problem to solve and the one who will solve the problem first, would be considered smarter than the other. The problem is :
In a group of 6 people, you might find some people are friends on Facebook, or you might find that no one is friend on Facebook. The brothers are supposed to prove that there is always a group of 3 people where either :
– All 3 people are mutual friends on Facebook.
– All 3 people are strangers (i.e, no one is friend on Facebook).
  Can you help the brothers to reach to the solution ?",hard
118,"https://www.geeksforgeeks.org/puzzle-the-counters-and-board/
","Given 2n counters where n &gt; 1. You have to place these 2n counters on an n × n board so that no more than
two counters are in the same row, column, or diagonal.",medium
119,"https://www.geeksforgeeks.org/the-remaining-numbers/
","Sahil and Amrit are friends. One day Amrit comes to Sahil’s home to take him outside so that they can play together. But Sahil denies saying that he will not play unless he reaches to the solution of the problem he is stucked with. So, Amrit decides to help him out .The problem is, given the first 50 natural numbers i.e., 1 , 2 , . . . . . . . 49 , 50 which are written on a board. Select two of the numbers on the board, say a and b , write the absolute value of their difference |a – b| on the board and then erase both a and b. Apply the above operation 49 times. Determine all possible values of the remaining number that can be obtained in this manner.",hard
120,"https://www.geeksforgeeks.org/puzzle-handshake/
","A couple invites n – 1 other couples to dinner. Once everyone arrives, each person shakes hands with everyone he doesn’t know. Then, the host asks everyone how many hands they shook and each person replies with a different number. Assuming that everyone knows his or her own spouse, how many hands did the hostess shake?",medium
121,"https://www.geeksforgeeks.org/puzzle-chances-second-boy-child-problem/
","
James and Calie are a married couple.
They have two children, one of the child is a boy. Assume that the probability of each gender is 1/2.
What is the probability that the other child is also a boy?",easy
122,"https://www.geeksforgeeks.org/puzzle-divide-crescent-moon-6-parts-just-two-straight-lines/
","Puzzle: We have to divide crescent moon in 6 parts, parts size does not matter. Only we have to cut the crescent moon in a way that it should divided into 6 parts but by using only two straight lines?",easy
123,"https://www.geeksforgeeks.org/puzzle-height-building/
","There is man on the terrace of a building and he wants to find the height of the building. Man wears a watch only and does not have any instruments to measure anything. There are also some stones on the terrace.
How can he find the height of the building from terrace ?",easy
124,"https://www.geeksforgeeks.org/container-with-most-water/
","Given n non-negative integers where each represents a point at coordinate . ‘ n ‘ vertical lines are drawn such that the two endpoints of line i is at and . Find two lines, which together with x-axis forms a container, such that the container contains the most water.The program should return an integer which corresponds to the maximum area of water that can be contained (maximum area instead of maximum volume sounds weird but this is the 2D plane we are working with for simplicity).",medium
125,"https://www.geeksforgeeks.org/puzzle-divide-square-land-among-4-sons/
",There is an old man and he has four sons. The old man is in critical situation and his last wish is to divide his square land into 4 equal parts but according to some rules. Rules and the image of land is provided below: ,medium
126,"https://www.geeksforgeeks.org/puzzle-3-glass-10-coins/
",Suppose we have 3 glasses and 10 coins. The problem is to place odd number of coins in each glass i.e. each glass should contain coins and the number of coins in each glass must be odd and total coins which will be used must be equal to 10.,medium
127,"https://www.geeksforgeeks.org/puzzle-magic-alphabets/
","
1. Which letter replaces the “?”:
   L : O
   R : I
   E : V
   M : ?
",medium
128,"https://www.geeksforgeeks.org/puzzle-3-cuts-cut-round-cake-8-equal-pieces/
",Puzzle: You have a birthday cake and have to cut it into 8 equal pieces by making 3 cuts only. How do you do it?,medium
129,"https://www.geeksforgeeks.org/find-time-hour-minute-hands-superimpose/
","This puzzle is an extension of the famous interview problem, find angle between hour and minute hand at any given time. The questions asks us to find the time when they both superimpose.",medium
130,"https://www.geeksforgeeks.org/puzzle-haunted-house-escape/
","Two friends Ram and Shyam were travelling through a forest. They were hungry and it was late at night. They were looking for shelter and after a long journey they found a haunted house. They decided to stay there and leave in the morning. There was no light and electricity and also it was raining heavily at night. They took some photographs of the house they stayed in and slept.
The very next morning both the friends woke up and were keen looking on the photographs. They found a ghost like figure in one picture. They decided to leave in a hurry but to their surprise they found themselves locked up in the house. There were three exit paths before them and three ghosts before them. Each ghost will ask question and upon providing proper solution to any 1 question one is allowed to escape from the house.",medium
131,"https://www.geeksforgeeks.org/puzzle-random-seating/
","People are waiting in line to board a 100-seat airplane. Ajay is the first person in the line. Ajay gets on the plane but he forgets his seat number, so he picks a seat at random. After that, each person who gets on the plane sits in his assigned seat if it’s available otherwise chooses an open seat at random to sit in. The flight is full and you are last in line. What is the probability that you get to sit in your assigned seat?",hard
132,"https://www.geeksforgeeks.org/puzzle-killed-man-bird-train-move-arrows/
","Who killed the man? : Rohan was found dead in the company. The police arrived at the scene and narrowed down four suspects. The name of the four suspects are James, Diya, Alice and Lopa. While dying, Rohan had written some letters with his blood. The police found the word written on the ground near Rohan. The word was kbnft. The police was able to break the code and found the murderer. How did the police found the murderer?
Solution:
The police noticed that
k-1 character = J
b-1 character = A
n-1 character = M
f-1 character = E
t-1 character = S
So, Police was able to found the murderer and arrested James.

Bird and the Train : The distance between Station Atena and station Barcena is 84 miles. A train starts from Atena towards Barcena. A bird start at the same time from Barcena straight towards the moving train. On reaching the train, it instantaneously turns back and returns to Barcena. The bird makes these journeys from Barcena to the train and back to Barcena continuously till the train reaches Barcena. The bird finally returns to Barcena and rests. Calculate the total distance in miles the bird travels. The bird flies at 80 miles/hour and the speed of the train is 60 miles per hour.",easy
133,"https://www.geeksforgeeks.org/puzzle-killed-rohan/
","Rohan bought a new house. Everything in it was state of the art. The refrigerator was stainless steel, ovens were electric, even the windows were built to only open from them inside. Rohan planned a small get-together with his friends at his new house. He went to the store and bought some steaks, wine, and other things that he saw fit. He invited John, Mike and Marry. They talked about sports, news, and gossiped about people in town. After a while, Mike started to get a little tipsy and was getting a little rude. John politely asked him to settle down, but Mike got furious and tried to fight. After quite a brawl, Rohan got a taxi for Mike and everyone left. The same day at 8:00 P.M, police got a call that Rohan had been murdered. When the police arrived at the scene, they found Mike and Marry. The police officer decided to question them both at the station.
When the officer questioned Mike, he said: “I was talking to Marry on the phone when i told her i should go and apologize to Rohan. She said that she should come with me in case things got heated again, and i said that was fine. I got there about ten minutes after Marry did, and i noticed that the front door was locked.I decided to look through a window to see if they were there, when i saw Marry, blood soaked, tossing a knife into the sink. I quickly opened the window, crawled through and called the police. Marry killed Rohan”.
When the officer questioned Marry, she said “Mike called me and told me to meet him at Rohan’s house, so that he could  apologize about our get together. I got there about ten minutes faster than Mike, so i decided to wait in the car for him . After a while, i got bored so i decided to go in and tell Rohan what was going to happen. I noticed the door was wide open, and i thought that was strange because Rohan is a very nervous man. So, i rang the doorbell, walked in, and locked the door.I saw Rohan lying dead on the floor. I was about to call the police when i saw Mike in the other room saying that i killed Rohan, and that he had called the police”. After investigating the crime scene, office found the murderer.
Who was the murderer?",easy
134,"https://www.geeksforgeeks.org/puzzle-maximum-number-kings-chessboard-without-check/
","Prerequisite – The Pigeonhole Principle
Problem statement – Given a 8×8 chessboard, figure out the maximum number of kings that can be placed on the chessboard so that no two kings attack each other, i.e., none of the kings is under check. A king can move only one step at a time any direction on the chessboard (horizontally, vertically and diagonally).",easy
135,"https://www.geeksforgeeks.org/puzzle-help-women-cross-river/
",Puzzle 1,easy
136,"https://www.geeksforgeeks.org/puzzle-water-jug-problem/
","We have two water jugs, one measures 4 Gallons (4G) while the other measure 9 Gallons (9G). But there is no measuring label mentioned on either of these two jugs i.e. we cannot know the exact amount filled in the jug. Now, assuming there is an infinite amount of water supply, can we measure all 1G, 2G, 3G…….. upto 9G using these unmarked jugs.
Hint: We can empty the jugs, and transfer water from one jug to other.",medium
137,"https://www.geeksforgeeks.org/puzzle-pizza-trouble/
","Rachel and Ross are about to eat pizzas. Apparently, both of them are hungry and have a huge appetite. So Ross brings 5 pizzas while Rachel brings 3 pizzas. Each pizza has six slices in total. They’re about to sit together and eat when suddenly Joey turns up. Joey agrees to give them money in return for food. So the three of them divide the 8 pizzas(i.e. 48 slices) equally and eat it. Joey has $8 in cash.
Being weak in maths he decides to pay Rachel and Ross equally i.e. $4 each. Ross vehemently objects to it. Help Joey divide the 8$ amongst the two of them fairly.",medium
138,"https://www.geeksforgeeks.org/puzzle-thats-impossible/
","Puzzle 1: Rahul’s code did not pass all the test cases. As a result he’s been sentenced to Geeksville prison. The Geeks community is considerate towards its prisoners and sets them free if they solve a particular riddle. Geeks guard asks the following question to Rahul:
If I add 7 to a number I get 46. However, if I subtract 7 I get 30. The Geeks guard says :
I Know that I am correct. Tell me how is it possible??
Help Rahul get out of the prison.
Hint: Think a bit about number systems",hard
139,"https://www.geeksforgeeks.org/puzzle-six-matches-right-foot-forward/
","THE SIX MATCHES : Shown in the sketch are six matchsticks:
",easy
140,"https://www.geeksforgeeks.org/puzzle-mathematics-operation/
",Question 1: Balance the equation 101 – 102 = 1 by putting some operators in it.,easy
141,"https://www.geeksforgeeks.org/puzzle-egg-vendor-eggs/
","Rasool, the man who delivers eggs to my home everyday, did not turn up one day. So when he came the next morning I demanded an explanation from him. He told me the following story:
The previous morning when he just came out of the house carrying a basket full of eggs on his head to start his daily rounds and stepped on to the street, a car going full speed brushed against him and knocked down his basket destroying all the eggs. The driver, however, a thorough gentleman admitted his responsibility and offered to compensate him for damages. But Rasool could not remember the exact number of eggs he had, but he estimated the number at between 50 and 100. He was also able to tell the gentleman that if the eggs were counted by 2’s and 3’s at a time, none would be left, but if counted by 5’s at a time, 3 would remain, and that he sold the eggs at 5O paise a piece. The gentleman made some quick calculations and paid Rasool adequately.
How much did the gentleman pay Rasool?",easy
142,"https://www.geeksforgeeks.org/puzzle-something-marmalade-number-game/
","Puzzle | Something for the Marmalade : A little girl I know sells oranges from door to door. One day while on her rounds she sold ½  an orange more than half her oranges to the first customer. To the second customer she sold ½  an orange more than half of the remainder and to the third and the last customer she sold ½  an orange more than half she now had, leaving her none.
Can you tell the number of oranges she originally had? Oh, by the way, she never had to cut an orange.",medium
143,"https://www.geeksforgeeks.org/puzzle-legs/
","You are standing in one of the biggest palaces in the world “Hofburg Palace, Vienna”. In palace, five commando are staying. Each commando has been allotted five big rooms and each room contains five huge tigers. Each huge tiger has five small tigers.
How many legs are there in the Palace ?

Solution : 3012
Explanation : We all know a tiger has 4 legs.",medium
144,"https://www.geeksforgeeks.org/puzzle-draw-4-straight-line-33-matrix-9-dots/
","You have given 9 dots in the form of 2d matrix 3 * 3. Your task is to draw four straight lines without lifting the pen and no dot should be left untouched.
How will you solve this task?


Solution:
 start from (A) upper corner of the right side to (B) bottom corner of the left side
",medium
145,"https://www.geeksforgeeks.org/puzzle-river-crossing/
","Aside from the river, there is 1 policeman, 1 robber, 1 blond haired woman, and her 2 children and 1 red-haired woman and her 2 children. There is a boat having a carrying capacity of a maximum of 2 people. Only adults can sail but not the kids. Please help all people to move across the river, knowing that if the policeman is absent, the robber will kill all people there. If the blond haired woman is absent, the red-haired woman will beat the blond haired woman’s children (and vice versa).",hard
146,"https://www.geeksforgeeks.org/puzzle-fill-brackets-30/
","( ) + ( ) + ( ) + ( ) + ( ) = 30
This is what you have for equation and following are the numbers that you can use to fill in the brackets:
 1, 3, 5, 7, 9, 11, 13 and 15.
You can repeat the no. if required. The resulting sum should be 30.

Solution: The main issue here is that an addition of odd numbers for odd number of times will result in an odd number. So, in no way will you get an even number like 30 by adding these odd numbers but we can apply other mathematical operations inside brackets and get the answer.",easy
147,"https://www.geeksforgeeks.org/puzzle-blow-hot-blow-cold/
",We know that 0°C is the same as 32°F. It is also a known fact that 100°C equals 212°F. But there is a temperature that gives the same reading on both Centigrade and Fahrenheit scales. Can you calculate this temperature?,easy
148,"https://www.geeksforgeeks.org/puzzle-farmer-goat-wolf-cabbage/
","There is a farmer who wishes to cross a river but he is not alone. He also has a goat, a wolf, and a cabbage along with him. There is only one boat available which can support the farmer and either of the goat, wolf or the cabbage. So at a time, the boat can have only two objects (farmer and one other).
But the problem is, if the goat and wolf are left alone (either in the boat or onshore), the wolf will eat the goat. Similarly, if the Goat and cabbage are left alone, then goat will eat the cabbage. The farmer wants to cross the river with all three of his belongings: goat, wolf, and cabbage.
What strategy he should use to do so?",easy
149,"https://www.geeksforgeeks.org/puzzle-gift-box/
","Three identical boxes are kept in front of you but only one of them has a GIFT inside. Each Box is labeled with a statement  but only one of the statement is true

Box 1 says the GIFT in this Box.
Box 2 says the GIFT not in this Box.
Box 3 says the GIFT not in Box 1.
Can you identify which Box has GIFT and which statement is true ?

Solution: Gift is in Box no. 2. Statement on Box no. 3 is true.
Explanation:
Analyze all statements one by one. ",easy
150,"https://www.geeksforgeeks.org/puzzle-three-thief-crossing-river/
","Three Thief need to cross  a river. Each thief has certain amount of stolen gold coins kept in his bag.
Thief A has 1000 gold coins
Thief B has 700 gold coins
thief C has  300 gold coins ",hard
151,"https://www.geeksforgeeks.org/puzzle-david-goliath/
","David and Goliath live on an island Geeksland. One day they both start fighting over an algorithm and realize both of them cannot live together. They want to kill each other. Geeksland has seven poisoned wells, numbered from 1 to 7. If you drink from a well, you can only save yourself by drinking from a higher numbered well.
For example:
If you drink water from well number 3 and follow it up by drinking water from any one of wells 4,5,6 or 7, it acts as anti-venom and you are saved.
Well 7 is located at the top of Geeks mountain. Only Goliath is able to reach well number 7. This means David can access wells 1-6 and Goliath has access to wells 1-7.
They decide that to resolve this issue each of them will bring a glass of water. They will exchange their glasses and drink the water. After the duel, David lives and Goliath dies.
What strategy did David use to survive?
HINT: Think not only outside the box but outside the island.

Solution: Goliath knew that David cannot reach well number 7. So he would get water from well 6 or 7 for David. As a result, he thinks David would die.
David knew that no matter from which well he gives the water, Goliath will go and drink water from well 7 and live.
The problem statement clearly mentions that both of them live on an island.
So, David got sea water for Goliath and before  duel drank water from well number 1. When they exchanged glasses and drank water, Goliath rushed to well 7 and drank poison from it, thinking that it would cure the poison he just drank (but he drank sea water), so Goliath died.
David on the other hand already had poison from well 1 so what Goliath gave him effectively cured him. So he lived.",hard
152,"https://www.geeksforgeeks.org/puzzle-find-cat/
","A cat is hiding in one of the five boxes. The boxes are numbered one to five and are all sitting in a row, lined up in order. Each night, the sneaky little cat hides in an adjacent box, exactly one box away from the box it’s in during the day. Each morning, you can open exactly one box to see if the cat is in there. Can you say with certainty that you will find the cat ? How can you go about this hide and seek game to ensure you find the cat?",hard
153,"https://www.geeksforgeeks.org/puzzle-truth-lie/
","There are two tribes, “Lie tribe” and “Truth Tribe”. “Lie tribe”, as per the name, always lie and “Truth tribe” always speak the truth. You meet three of the persons from these tribes and ask the first person: “Which tribe do you belong to ?”. He replies something in his language which you don’t understand. Second person translates to you that, he is saying that he belongs to the “Lie Tribe”. Third person says that second person is lying.
Which tribe does the third person belong to?",medium
154,"https://www.geeksforgeeks.org/puzzle-black-white-balls/
","You have 20 white and 13 black balls in a bag. You pull out 2 balls one after another. If the balls are of same color, then you replace them with a white ball – but if they are of different color, you replace them with a black ball. Once you take out the balls, you do not put them back in the bag – so the balls keep reducing. What would be the color of the last ball remaining in the bag.",hard
155,"https://www.geeksforgeeks.org/puzzle-luxury-cars/
","A father wants to divide his 17 luxury cars among his three sons. According to the father, the oldest son should get half of the luxury cars, the middle son should get one third of the luxury cars and the youngest son should get one ninth of the luxury cars. When the father died, his sons were not able to divide the luxury cars as the result was coming in fractions. As the sons were fighting on how to divide the luxury cars, a traveling mathematician driving by his luxury car came and heard their problem. He proposed a solution with which all the sons got their share in the property without destroying any car.
What was the advice given by the traveling mathematician and how the group of luxury cars was divided?",medium
156,"https://www.geeksforgeeks.org/puzzle-pirates-gems/
","Seven pirates attacked the British ship and looted some rare gems from them. They decided to rest for some time and then divide the gems later. While everyone was resting, two pirates wake up and planned to divide gems equally between the two. When they divided gems equally, one gem was left. So, they decided to wake up the third pirate and divide among three, but alas again one gem was left. They decide to wake up the fourth pirate to divide the gems and again one gem was left. The same happened again with the fifth and sixth. Finally, they woke up the 7th pirate and this time the gems were divided equally.
How many minimum gems did they stole in total ?",medium
157,"https://www.geeksforgeeks.org/puzzle-square-right-angles-ladder/
",Puzzle 1 : Square and Right angles ,easy
158,"https://www.geeksforgeeks.org/puzzle-three-aliens-riddle/
","There are 3 aliens, namely A, B and C. You Know A always tells the truth, B will always lie and C will just pick a random answer (truth / lie). You can ask only 3 Yes or No questions to them. They will answer your question in code-word ‘OLO’ or ‘UZU’, which means ‘Yes’ or ‘No’ – but you don’t know which one means which.
What will be your questions to identify each alien ?
 Solution : 
Please follow the links given below to understand the answer clearly.
 Source : 
1) www.dailymail.co.uk
2) Youtube Link",easy
159,"https://www.geeksforgeeks.org/puzzle-words-without-a/
","In interview, the interviewer asked, tell me the name of 30 words that don’t have the alphabet “a” in them in 30 seconds?",medium
160,"https://www.geeksforgeeks.org/puzzle-gun-missile-robot/
","There are three people (Ajay, Bhuvi and Chandu), one of them is a Gun, one a missile, and one a robot. The Gun always tells the truth, the missile always lies, and the robot can either lie or tell the truth.
Statements :
Ajay   : “Chandu is a missile.”
Bhuvi  : “Ajay is a Gun.”
Chandu : “I am the robot.”
Find out the Gun, the missile and the robot?",medium
161,"https://www.geeksforgeeks.org/puzzle-brothers-sisters/
","There is a family, which has seven children. In this family, each boy has as many sisters as brothers and each of the girl has twice as many brothers as sisters. Now the question is, in this family how many brothers and sisters are there ?",easy
162,"https://www.geeksforgeeks.org/puzzle-human-zombie/
","This is a problem in which 4 people are their s1, s2, s3, s4 and there is a Bridge.These 4 people came to know that zombie will going to attack them after 17 minutes.Now the situation is like there is a lantern and at a time at most 2 people can cross the bridge but only with lantern and now here are the time that each person takes to cross bridge:",medium
163,"https://www.geeksforgeeks.org/puzzle-marriage-party/
","3 types of people  go to a marriage party.

Type 1 people : 1 man eats in 4 plates.
Type 2 people : 1 man eats in 2 plates.
Type 3 people : 4 men eat in 1 plate.

You are given that exactly 100 people go to the party and there are exactly 100 plates. So you have to calculate how many people of type 1, type 2 and type 3 will go to the party. Whereby the condition is all the 100 plates should be consumed by 100 people. And no plate will remaining after the party.",medium
164,"https://www.geeksforgeeks.org/puzzle-women-murder/
","A woman was killed when she went to withdraw money from the bank. The suspects are Honey, Maicle, Jason, Janos, and Sofia. A calendar near the woman has 6, 4, 9, 10, 11 written in blood. Who is the killer?
Solution :-
Jason
The numbers on calendar represented the respective months of the year.
So,
6 = June
4 = April
9 = September
10 = October
11 = November",hard
165,"https://www.geeksforgeeks.org/puzzle-mislabeled-jars/
","Puzzle: There are 3 jars, namely, A, B, C. All of them are mislabeled. Following are the labels of each of the jars:",easy
166,"https://www.geeksforgeeks.org/puzzle-pot-beans/
","A pot contains 75 white beans and 150 black ones. Next to the pot is a large pile of black beans. A somewhat demented cook removes the beans from the pot, one at a time, according to the following strange rule:
He removes two beans from the pot at random. If atleast one of the beans is black, he places it on the bean pile and drops the other bean, no matter what color, back in the pot.
If both beans are white, on the other hand, he discards both of them and removes one black bean from the pile and drops it in the pot.
At each turn of this procedure, the pot has one less bean in it. Eventually, just one bean is left in the pot. What color is it?
Solution :-
White
The cook removes the white beans two at a time, and there is an odd number of them. When the cook gets to the last white bean and picks it up along with a black bean, the white one always goes back into the pot.",hard
167,"https://www.geeksforgeeks.org/puzzle-probability-truck-passing/
",The probability of a truck passing a certain intersection in a 20 minute windows is 0.9. What is the probability of a truck passing the intersection in a 5 minute window? (Assuming a constant probability throughout),hard
168,"https://www.geeksforgeeks.org/puzzle-who-killed-him/
","A rich man was murdered on Friday afternoon. The police was called for the investigation. Police identified five suspects. At the time of the murder, there was the butler, the cook, the maid, the gardener and the wife. All suspects gave the explanations of what everyone was doing at the house during the day of the murder.
Butler: I was fixing the table.
Cook: I was cooking breakfast.
Maid: I was washing the dishes.
Gardener: I was planting flowers.
Wife : I was watching TV.
Without wasting the time, the police immediately arrested the killer. Who was the killer ?",easy
169,"https://www.geeksforgeeks.org/puzzle-find-number-matches/
",A Tournament of cricket is to played with 100 teams. How many matches needs to be played to get a winner considering all matches are knockouts and the winning team plays with the other winning team ?,easy
170,"https://www.geeksforgeeks.org/puzzle-chemical-mystery/
","A famous chemist was found murdered in his laboratory. The police knew that two people were involved in his murder and there were 5 suspects named Join, Bob, Felice, Nicolas and Joshua. Police also found a note which was written by the chemist. In the note, there were written some numbers “26-3-58 / 28-27-57-16”. After reading the numbers, Police immediately found the murderers. Who are the murderers and how did the police know?",medium
171,"https://www.geeksforgeeks.org/puzzle-who-was-the-murderer/
","It was the first day of school when a teacher found a student dead in the classroom. Police had identified three suspects named Oliver, Jason and Emma. All of them claimed that they didn’t do it but Jason and Alex seemed nervous during interrogation . Police found a note left behind by the victim. Moments before death, somehow victim was able to write some numbers on the calendars with his blood. The numbers are 1, 4, 9, 10 and 11. What does victim wanted to say through numbers ? Who was the killer  ?",easy
172,"https://www.geeksforgeeks.org/puzzle-measure-4l-using-given-3-buckets/
","Suppose you have 8L, 5L  and a 3L bucket with you. The buckets have no measurement lines on them and you are asked to measure exactly 4L of water using the three buckets. How could you measure exactly 4L water using only those buckets and provided you have as much extra water as you need ?",easy
173,"https://www.geeksforgeeks.org/puzzle-couples-crossing-river/
","Three couples are on the vacation.They need to cross the river to reach their hotel. There are 3 rules which are as follows:-
Rule 1:- The boat can only carry two people at a time. If the third person trying to get in the boat then the boat will sink.
Rule 2:- The husbands are so jealous that they can not let their wife with another man, without their presence.
Rule 3:- The boat cannot run on itself. At-least one person should be on the boat to go from one side to another.",medium
174,"https://www.geeksforgeeks.org/puzzle-city-truth-lies/
","Problem Statement
A road is divided into two ways of which one leads to City of truth and other leads to City of Lies. All the people of City of Truth always tell truth and all the people from City of Lies always lie. There are two people standing at the division one from City of Truth and other from City of Lies. You don’t know who belongs to which city. You can ask only one question from any of the two people standing there to determine which way leads to city of truth and which leads to city of lies.",easy
175,"https://www.geeksforgeeks.org/puzzle-distance-time-work/
","Puzzle : (Distance) There is one scooter which has 2 tyres and one Stepney (i.e. total of 3 tyres). Each tyre can run up to maximum of 5 km. How long will the scooter run?
Solution :
7.5 km
EXPLANATION :
First, ride scooter for 2.5 km and change the 1st tyre with Stepney.
Now km remaining for 1st tyre is 2.5 km , 2nd tyre is 2.5 km and Stepney is 5 km
Again ride scooter for 2.5km and this time change 2nd tyre with 1st tyre.
Now km remaining for 1st tyre is 2.5 km, 2nd tyre is 0 km and Stepney is 2.5 km
Now ride 2.5km with remaining 1st tyre and Stepney.
Total = 2.5 + 2.5 + 2.5 = 7.5km",easy
176,"https://www.geeksforgeeks.org/puzzle-3-priests-3-devils-puzzle/
","There are 3 devils and 3 Priests.They all have to cross a river in a boat.Boat can only carry two people at a time.As long as there are equal number of devils and priests,then devils will not eat Priest.If the number of devils are greater than the number of priests on the same side of the river then devils will eat the priests.So how can we make all the 6 peoples to arrive to the other side safely?",medium
